passenger_id,first_name,last_name,frequent_flyer,weight,travel_style,baggage_count,check_in_preference,hair,eyes,skin_tone,clothes
P0001,Rin,Nowak,NO,3,SOLO,1,KIOSK,black_f,black,tone_4,blue
P0002,Quang,Agyeman,NO,3,BUSINESS,1,DESK,black_f,blue,tone_2,suit
P0003,Trang,Campbell,NO,3,SOLO,2,ONLINE,black,blue,tone_1,red
P0004,Nathan,Campbell,NO,2,BUSINESS,1,ONLINE,brunette_f,black,tone_6,blue
P0005,Phoebe,Agyeman,YES,5,LEISURE,1,ONLINE,brunette,black,tone_1,blue
P0006,Jasleen,Malhotra,YES,9,LEISURE,1,DESK,brunette,black,tone_2,suit
P0007,Khalid,Ito,NO,3,LEISURE,1,KIOSK,blonde_f,blue,tone_4,olive+green
P0008,Meera,Russell,YES,8,LEISURE,1,KIOSK,brunette_f,black,tone_2,suit
P0009,Nathan,Stewart,NO,2,LEISURE,0,KIOSK,brunette_f,blue,tone_2,suit
P0010,Chloe,Kaminski,NO,1,BUSINESS,1,KIOSK,blonde,blue,tone_4,suit
P0011,Jordan,Byrne,YES,10,LEISURE,1,ONLINE,blonde,black,tone_4,olive+green
P0012,Linh,Wilson,NO,1,LEISURE,1,ONLINE,black,black,tone_3,suit
P0013,Vivaan,Rahman,NO,1,LEISURE,1,DESK,blonde_f,blue,tone_3,olive+green
P0014,Hao,Watson,YES,7,LEISURE,2,DESK,blonde,black,tone_3,blue
P0015,Wei,Rao,NO,2,SOLO,1,DESK,black_f,black,tone_3,blue
P0016,Benjamin,Nowak,NO,1,FAMILY,2,DESK,blonde,black,tone_3,suit
P0017,Casey,Moretti,NO,2,BUSINESS,0,ONLINE,blonde,black,tone_6,olive+green
P0018,Rin,Ferrari,NO,1,LEISURE,2,ONLINE,brunette_f,blue,tone_1,suit
P0019,Tariq,Young,NO,1,BUSINESS,0,ONLINE,blonde,black,tone_2,suit
P0020,Matteo,Hall,YES,10,LEISURE,2,DESK,brunette_f,blue,tone_5,olive+green
P0021,Camille,Moreau,NO,1,LEISURE,1,DESK,blonde,black,tone_2,red
P0022,Anja,Shah,NO,2,LEISURE,1,KIOSK,black_f,black,tone_6,olive+green
P0023,Ren,Eze,NO,1,LEISURE,0,KIOSK,brunette_f,blue,tone_5,red
P0024,Yasmin,Yamamoto,NO,1,FAMILY,2,DESK,brunette_f,black,tone_5,suit
P0025,Riya,Boateng,NO,1,SOLO,1,DESK,blonde_f,black,tone_3,red
P0026,Hannah,Adams,NO,1,LEISURE,1,KIOSK,brunette,blue,tone_4,suit
P0027,Obinna,Francis,NO,1,FAMILY,3,DESK,black,blue,tone_3,red
P0028,Camila,Boateng,NO,1,BUSINESS,0,ONLINE,brunette,blue,tone_3,suit
P0029,Jack,Camara,NO,2,SOLO,0,KIOSK,black,blue,tone_5,suit
